region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Falkenberg,12,-739,-476,980,956,-164,-840,41,1000,1388,793,901,951,1126,2186,1830,989,1498,2266,2086,1324,153,1360,3533
Varberg,587,-563,652,854,1117,412,353,927,1370,1786,1739,813,2610,1560,1919,1850,1616,1115,1451,3000,1815,1788,2345,6200
Kungsbacka,-1515,64,-460,1118,3548,655,1419,1930,2743,1941,1093,1690,2873,1349,1745,2567,1496,580,323,1603,1317,1733,4665,5231
Harryda,-239,273,1014,1734,532,497,522,1470,1772,2219,766,1124,2045,1302,1092,2616,2698,2144,2480,2103,447,2258,5834,6550
Partille,-1186,602,905,276,-800,367,829,1128,1229,698,530,1315,867,844,1002,1003,701,483,1208,5540,646,2583,1752,6567
ockero,-1029,-529,-242,390,-145,270,735,190,1008,800,477,1106,1185,801,807,1082,616,-315,740,445,-405,350,2852,3730
Stenungsund,85,-379,63,-134,160,745,505,971,458,985,360,2330,3251,1228,1487,1564,1223,801,4352,2433,2034,1988,4856,2507
Tjorn,-1950,-2377,-2062,1119,820,-102,-216,527,1511,129,37,903,1244,1770,1152,2194,1621,1214,1205,1646,509,442,3138,5490
Orust,320,-5,-319,-443,31,-394,-962,1010,1295,-464,-1443,2218,2614,2003,548,-123,-1682,-3138,430,2648,3336,1368,3094,4412
Sotenas,177,-460,1286,-1688,-845,143,913,631,1624,1546,406,1022,1184,1941,1699,154,-1610,1477,3268,1119,1102,708,1993,1754
Munkedal,-685,-6113,820,426,1399,476,481,1090,1910,1053,90,736,1867,701,1097,1046,-188,17,3823,4870,1186,2753,2740,3290
Tanum,-125,-2891,439,298,379,493,1276,1943,1827,1373,989,1326,1327,812,3057,735,740,482,1010,1187,539,319,2501,5656
Dals-Ed,-632,-1438,-165,-887,-1308,-1768,-1098,783,1209,904,836,1284,582,1715,750,1567,806,142,1828,3909,-767,-2331,3317,3718
Fargelanda,-1007,-1007,303,-208,297,-315,-621,1112,395,806,251,-2682,-11783,1925,2037,3454,1903,19,1838,1964,735,-4742,-1593,496
Ale,-658,-294,1951,1061,450,587,24,841,1679,935,1369,1284,2334,1727,1436,1335,1259,1426,1027,1289,1298,3026,3941,3891
Lerum,-149,-442,335,1429,766,568,1707,1481,1822,1026,1033,1199,503,-244,184,1497,1601,1012,1178,697,983,1262,2410,6955
Vargarda,-13,261,394,603,717,248,410,342,137,104,-284,1040,854,502,858,1422,569,951,986,2012,826,13,1973,2459
